zipcode,total,poverty
60002,11890,3340
60004,26490,6420
60005,15580,4160
60007,18480,4900
60008,11670,3310
60010,22020,4920
60012,5320,1420
60013,13330,3660
60014,24220,7060
60015,13790,3390
60016,31820,10090
60018,15180,5020
60020,5470,1640
60021,2810,760
60022,3930,890
60025,20300,5450
60026,6870,1600
60030,18580,4850
60031,19330,5390
60033,6290,2190
60034,1000,310
60035,15030,3500
60040,2370,810
60041,4710,1420
60042,4540,1320
60043,1150,280
60044,4960,1150
60045,10140,2290
60046,17250,4670
60047,20540,5050
60048,14610,3540
60050,15940,4780
60051,12910,3610
60053,12430,3510
60056,28140,8010
60060,18910,5180
60061,13160,3310
60062,21600,5120
60064,6280,3050
60067,20400,4820
60068,19690,4840
60069,4650,960
60070,7900,2270
60071,2020,600
60072,520,150
60073,28400,9310
60074,19220,5990
60076,16830,5380
60077,13920,4690
60081,4700,1280
60083,5010,1290
60084,8440,2270
60085,31100,13120
60087,13790,4810
60088,1700,710
60089,21290,5120
60090,19870,5960
60091,13230,3130
60093,9740,2380
60096,3460,910
60097,5430,1630
60098,15960,4770
60099,14440,5650
60101,18690,6140
60102,16390,4340
60103,20790,5260
60104,9880,3810
60106,9780,3050
60107,20490,6010
60108,11810,2980
60110,17960,6300
60111,130,40
60112,2140,610
60115,17250,6890
60118,8700,2300
60119,5330,1330
60120,24380,8420
60123,23030,7850
60124,11590,2480
60126,22590,5550
60129,120,40
60130,7810,2090
60131,9260,3190
60133,18190,6020
60134,14800,3630
60135,3700,1140
60136,3780,820
60137,18720,4740
60139,16380,5390
60140,10020,2290
60142,14650,3750
60143,5780,1380
60145,1190,320
60146,1250,390
60148,26830,6930
60150,820,260
60151,1970,490
60152,6100,1780
60153,10770,4690
60154,9430,2370
60155,4310,1530
60156,14140,3860
60157,1370,370
60160,11220,4210
60162,4330,1440
60163,2810,920
60164,10830,3720
60165,1950,800
60169,16920,5110
60171,5500,2060
60172,13020,3610
60173,7040,1490
60174,16210,4200
60175,11730,2920
60176,6000,2260
60177,11800,3300
60178,10980,3020
60180,810,220
60181,14960,4450
60184,1250,300
60185,16630,5430
60187,13460,3540
60188,21750,6390
60189,15560,3720
60190,5970,1390
60191,7780,2300
60192,7880,1780
60193,20710,5460
60194,10160,2620
60195,2630,490
60201,18230,4800
60202,16530,4380
60203,2270,560
60301,1610,300
60302,15840,3580
60304,8080,1890
60305,5210,1210
60401,4040,1150
60402,29900,10490
60403,9200,3010
60404,9840,2500
60406,10810,4670
60407,810,270
60408,2820,870
60409,16630,7270
60410,6640,1800
60411,23870,10520
60415,6450,2590
60416,4640,1340
60417,7790,2410
60419,10520,4640
60420,2270,720
60421,1950,520
60422,4880,1230
60423,16050,4160
60424,1080,350
60425,4540,1600
60426,10000,5380
60428,5240,2650
60429,7140,2950
60430,10110,2870
60431,12880,3510
60432,8770,3690
60433,7380,3080
60435,23680,8160
60436,8310,3320
60438,14300,5130
60439,12130,3140
60440,25700,8480
60441,16990,4820
60442,5450,1320
60443,10580,3560
60444,850,260
60445,7630,2580
60446,20090,6390
60447,7170,1980
60448,13010,3380
60449,4470,1220
60450,10290,3050
60451,18110,4750
60452,13790,4150
60453,29020,9120
60455,7570,2980
60456,2320,780
60457,6870,2450
60458,6440,2540
60459,13990,5190
60460,700,240
60461,2480,580
60462,21080,5740
60463,7530,1720
60464,5010,1200
60465,9190,3090
60466,10380,4190
60467,13780,3510
60468,3040,840
60469,2510,990
60470,280,90
60471,6300,2300
60472,1770,990
60473,11530,4130
60475,4650,1720
60476,1250,420
60477,20100,5620
60478,8150,3310
60479,340,100
60480,2880,710
60481,5710,1690
60482,5510,2130
60484,2940,1280
60487,13340,3650
60490,10180,2920
60491,11570,2930
60501,5120,2160
60502,10620,2570
60503,7370,1850
60504,18410,5240
60505,25600,10800
60506,24940,8890
60510,14090,3740
60511,870,210
60512,560,130
60513,9650,2570
60514,4830,1230
60515,14580,3770
60516,14910,3670
60517,17180,5020
60518,1630,550
60520,1400,390
60521,8210,1950
60523,5390,1250
60525,16250,4540
60526,6830,1670
60527,14820,3930
60530,320,100
60531,900,270
60532,14790,3560
60534,5150,1820
60538,13410,4080
60540,20610,4900
60541,1420,360
60542,9110,2300
60543,18630,5120
60544,13690,3930
60545,6420,2000
60546,8200,2190
60548,6030,1950
60549,370,100
60550,600,180
60551,1760,520
60552,2180,590
60553,350,100
60554,6030,1390
60555,7310,1970
60556,1010,310
60558,6430,1480
60559,12470,3610
60560,12410,3330
60561,12670,3260
60563,18410,4320
60564,20340,4950
60565,19310,4870
60585,10660,2720
60586,22610,6820
60601,8050,970
60602,1300,360
60603,1310,190
60604,620,150
60605,15640,2120
60606,2780,270
60607,13750,2090
60608,30730,11960
60609,24030,10890
60610,24060,4040
60611,20570,2360
60612,14220,5880
60613,29190,5710
60614,36050,5220
60615,18740,6430
60616,24790,9200
60617,33780,14740
60618,44160,12430
60619,27750,12460
60620,29830,14210
60621,10290,6460
