"ZIP
code [1]",Size of adjusted gross income,Number of returns
00000,Total,"6,049,320"
00000,"$1 under $25,000","1,945,310"
00000,"$25,000 under $50,000","1,391,180"
00000,"$50,000 under $75,000","865,920"
00000,"$75,000 under $100,000","578,350"
00000,"$100,000 under $200,000","909,960"
00000,"$200,000 or more","358,600"
,,
60002,,"11,890"
60002,"$1 under $25,000","3,340"
60002,"$25,000 under $50,000","2,200"
60002,"$50,000 under $75,000","1,670"
60002,"$75,000 under $100,000","1,290"
60002,"$100,000 under $200,000","2,620"
60002,"$200,000 or more",770
,,
60004,,"26,490"
60004,"$1 under $25,000","6,420"
60004,"$25,000 under $50,000","4,180"
60004,"$50,000 under $75,000","3,320"
60004,"$75,000 under $100,000","2,640"
60004,"$100,000 under $200,000","6,450"
60004,"$200,000 or more","3,480"
,,
60005,,"15,580"
60005,"$1 under $25,000","4,160"
60005,"$25,000 under $50,000","2,880"
60005,"$50,000 under $75,000","2,210"
60005,"$75,000 under $100,000","1,440"
60005,"$100,000 under $200,000","3,080"
60005,"$200,000 or more","1,810"
,,
60007,,"18,480"
60007,"$1 under $25,000","4,900"
60007,"$25,000 under $50,000","3,880"
60007,"$50,000 under $75,000","3,070"
60007,"$75,000 under $100,000","2,050"
60007,"$100,000 under $200,000","3,700"
60007,"$200,000 or more",880
,,
60008,,"11,670"
60008,"$1 under $25,000","3,310"
60008,"$25,000 under $50,000","2,980"
60008,"$50,000 under $75,000","1,840"
60008,"$75,000 under $100,000","1,150"
60008,"$100,000 under $200,000","1,860"
60008,"$200,000 or more",530
,,
60010,,"22,020"
60010,"$1 under $25,000","4,920"
60010,"$25,000 under $50,000","2,320"
60010,"$50,000 under $75,000","1,930"
60010,"$75,000 under $100,000","1,650"
60010,"$100,000 under $200,000","4,830"
60010,"$200,000 or more","6,370"
,,
60012,,"5,320"
60012,"$1 under $25,000","1,420"
60012,"$25,000 under $50,000",680
60012,"$50,000 under $75,000",540
60012,"$75,000 under $100,000",460
60012,"$100,000 under $200,000","1,450"
60012,"$200,000 or more",770
,,
60013,,"13,330"
60013,"$1 under $25,000","3,660"
60013,"$25,000 under $50,000","2,270"
60013,"$50,000 under $75,000","1,760"
60013,"$75,000 under $100,000","1,460"
60013,"$100,000 under $200,000","2,980"
60013,"$200,000 or more","1,200"
,,
60014,,"24,220"
60014,"$1 under $25,000","7,060"
60014,"$25,000 under $50,000","4,780"
60014,"$50,000 under $75,000","3,320"
60014,"$75,000 under $100,000","2,430"
60014,"$100,000 under $200,000","4,880"
60014,"$200,000 or more","1,750"
,,
60015,,"13,790"
60015,"$1 under $25,000","3,390"
60015,"$25,000 under $50,000","1,560"
60015,"$50,000 under $75,000","1,210"
60015,"$75,000 under $100,000",970
60015,"$100,000 under $200,000","2,740"
60015,"$200,000 or more","3,920"
,,
60016,,"31,820"
60016,"$1 under $25,000","10,090"
60016,"$25,000 under $50,000","7,860"
60016,"$50,000 under $75,000","5,260"
60016,"$75,000 under $100,000","3,170"
60016,"$100,000 under $200,000","4,530"
60016,"$200,000 or more",910
,,
60018,,"15,180"
60018,"$1 under $25,000","5,020"
60018,"$25,000 under $50,000","4,050"
60018,"$50,000 under $75,000","2,390"
60018,"$75,000 under $100,000","1,370"
60018,"$100,000 under $200,000","1,920"
60018,"$200,000 or more",430
,,
60020,,"5,470"
60020,"$1 under $25,000","1,640"
60020,"$25,000 under $50,000","1,360"
60020,"$50,000 under $75,000",880
60020,"$75,000 under $100,000",630
60020,"$100,000 under $200,000",810
60020,"$200,000 or more",150
,,
60021,,"2,810"
60021,"$1 under $25,000",760
60021,"$25,000 under $50,000",520
60021,"$50,000 under $75,000",350
60021,"$75,000 under $100,000",320
60021,"$100,000 under $200,000",620
60021,"$200,000 or more",240
,,
60022,,"3,930"
60022,"$1 under $25,000",890
60022,"$25,000 under $50,000",290
60022,"$50,000 under $75,000",230
60022,"$75,000 under $100,000",150
60022,"$100,000 under $200,000",530
60022,"$200,000 or more","1,840"
,,
60025,,"20,300"
60025,"$1 under $25,000","5,450"
60025,"$25,000 under $50,000","2,980"
60025,"$50,000 under $75,000","2,290"
60025,"$75,000 under $100,000","1,700"
60025,"$100,000 under $200,000","3,960"
60025,"$200,000 or more","3,920"
,,
60026,,"6,870"
60026,"$1 under $25,000","1,600"
60026,"$25,000 under $50,000",790
60026,"$50,000 under $75,000",680
60026,"$75,000 under $100,000",510
60026,"$100,000 under $200,000","1,400"
60026,"$200,000 or more","1,890"
,,
60030,,"18,580"
60030,"$1 under $25,000","4,850"
60030,"$25,000 under $50,000","3,360"
60030,"$50,000 under $75,000","2,550"
60030,"$75,000 under $100,000","1,930"
60030,"$100,000 under $200,000","4,280"
60030,"$200,000 or more","1,610"
,,
60031,,"19,330"
60031,"$1 under $25,000","5,390"
60031,"$25,000 under $50,000","3,450"
60031,"$50,000 under $75,000","2,630"
60031,"$75,000 under $100,000","1,970"
60031,"$100,000 under $200,000","4,090"
60031,"$200,000 or more","1,800"
,,
60033,,"6,290"
60033,"$1 under $25,000","2,190"
60033,"$25,000 under $50,000","1,760"
60033,"$50,000 under $75,000","1,020"
60033,"$75,000 under $100,000",570
60033,"$100,000 under $200,000",620
60033,"$200,000 or more",130
,,
60034,,"1,000"
60034,"$1 under $25,000",310
60034,"$25,000 under $50,000",260
60034,"$50,000 under $75,000",170
60034,"$75,000 under $100,000",110
60034,"$100,000 under $200,000",150
60034,"$200,000 or more",** 
,,
60035,,"15,030"
60035,"$1 under $25,000","3,500"
60035,"$25,000 under $50,000","1,680"
60035,"$50,000 under $75,000","1,320"
60035,"$75,000 under $100,000","1,030"
60035,"$100,000 under $200,000","3,040"
60035,"$200,000 or more","4,460"
,,
60040,,"2,370"
60040,"$1 under $25,000",810
60040,"$25,000 under $50,000",670
60040,"$50,000 under $75,000",320
60040,"$75,000 under $100,000",170
60040,"$100,000 under $200,000",240
60040,"$200,000 or more",160
,,
60041,,"4,710"
60041,"$1 under $25,000","1,420"
60041,"$25,000 under $50,000","1,160"
60041,"$50,000 under $75,000",700
60041,"$75,000 under $100,000",480
60041,"$100,000 under $200,000",780
60041,"$200,000 or more",170
,,
60042,,"4,540"
60042,"$1 under $25,000","1,320"
60042,"$25,000 under $50,000","1,030"
60042,"$50,000 under $75,000",760
60042,"$75,000 under $100,000",520
60042,"$100,000 under $200,000",790
60042,"$200,000 or more",120
,,
60043,,"1,150"
60043,"$1 under $25,000",280
60043,"$25,000 under $50,000",50
60043,"$50,000 under $75,000",60
60043,"$75,000 under $100,000",40
60043,"$100,000 under $200,000",140
60043,"$200,000 or more",580
,,
60044,,"4,960"
60044,"$1 under $25,000","1,150"
60044,"$25,000 under $50,000",710
60044,"$50,000 under $75,000",520
60044,"$75,000 under $100,000",400
60044,"$100,000 under $200,000",970
60044,"$200,000 or more","1,210"
,,
60045,,"10,140"
60045,"$1 under $25,000","2,290"
60045,"$25,000 under $50,000",910
60045,"$50,000 under $75,000",710
60045,"$75,000 under $100,000",540
60045,"$100,000 under $200,000","1,700"
60045,"$200,000 or more","3,990"
,,
60046,,"17,250"
60046,"$1 under $25,000","4,670"
60046,"$25,000 under $50,000","2,950"
60046,"$50,000 under $75,000","2,300"
